Species;a;b
Marine fishes;0,0188;3,061
Marine fishes;0,0192;3,061
Marine fishes;0,0101;3,205
Marine fishes;0,0121;3,154
Marine fishes;0,0242;2,979
Marine fishes;0,0253;3
Marine fishes;0,0226;3,018
Marine fishes;0,014;3,205
Marine fishes;0,032;2,978
Marine fishes;0,043;2,877
Marine fishes;0,072;2,708
Marine fishes;0,016;3,154
Marine fishes;0,033;2,964
Marine fishes;0,048;2,837
Marine fishes;0,0226;3,018
Marine fishes;0,023;3
Marine fishes;0,02189;3,026
Marine fishes;0,00788;2,964
Marine fishes;0,0148;2,903
Marine fishes;0,0104;2,964
Marine fishes;0,00935;3,02
Marine fishes;0,04;2,69
Marine fishes;0,067;2,54
Marine fishes;0,0085;3
Marine fishes;0,00258;3,58
Marine fishes;0,0118;3,14
Marine fishes;0,036;2,754
Marine fishes;0,011;2,943
Marine fishes;0,00916;3,136
Marine fishes;0,0117;3,064
Marine fishes;0,0213;2,75
Marine fishes;0,0233;2,979
Marine fishes;0,017;2,9
Marine fishes;0,0095;3,178
Marine fishes;0,0128;2,779
Marine fishes;0,01085;3,0885
Marine fishes;0,02;2,96
Marine fishes;0,0181;2,96
Marine fishes;0,00661;3,357
Marine fishes;0,0077;3,125
Marine fishes;0,0039;3,232
Marine fishes;0,0049;3,171
Marine fishes;0,015;2,823
Marine fishes;0,0432;2,629
Marine fishes;0,0134;3,172
Marine fishes;0,011;3,06
Marine fishes;0,01474;2,966
Marine fishes;0,01707;3,028
Marine fishes;0,0107;3,031
Marine fishes;0,0105;3,055
Marine fishes;0,0031;3,53
Marine fishes;0,0204;3
Marine fishes;0,00856;3,131
Marine fishes;0,0109;3,17
Marine fishes;0,0137;3,09
Marine fishes;0,0092;3,076
Marine fishes;0,0148;2,994
Marine fishes;0,0151;2,97
Marine fishes;0,00631;3,499
Marine fishes;0,0049;3,3
Marine fishes;0,0062;3,281
Marine fishes;0,0065;3,242
Marine fishes;0,0072;3,38
Marine fishes;0,00935;3,272
Marine fishes;0,01501;2,933
Marine fishes;0,0085;3,153
Marine fishes;0,00844;3,146
Marine fishes;0,0124;3,0865
Marine fishes;0,01391;2,991
Marine fishes;0,0075;3,146
Marine fishes;0,0133;3,035
Marine fishes;0,019;2,909
Marine fishes;0,01141;3,04
Marine fishes;0,0094;3,265
Marine fishes;0,0186;2,841
Marine fishes;0,0062;3,381
Marine fishes;0,051;3,06
Marine fishes;0,0044;3,349
Marine fishes;0,01922;2,977
Marine fishes;0,00652;3,097
Marine fishes;0,0124;3,055
Marine fishes;0,02;2,88
Marine fishes;0,035;2,731
Marine fishes;0,01233;3,0608
Marine fishes;0,1222;2,241
Marine fishes;0,0328;2,61
Marine fishes;0,00022;3,29
Marine fishes;0,00015;3,427
Marine fishes;0,00011;3,447
Marine fishes;0,00028;3,227
Marine fishes;0,00032;3,725
Marine fishes;0,236;3,48
Marine fishes;0,0009;2,969
Marine fishes;0,00022;3,25
Marine fishes;0,00055;3,05
Marine fishes;0,00002;3,813
Marine fishes;0,00006;3,611
Marine fishes;0,0619;2,549
Marine fishes;0,0563;2,571
Marine fishes;0,00007;3,478
Marine fishes;0,00021;3,192
Marine fishes;0,0002;3,26
Marine fishes;0,001;3,08
Marine fishes;0,0002;3,33
Marine fishes;0,00017;3,23
Marine fishes;0,0338;2,653
Marine fishes;0,00021;3,3237
Marine fishes;0,00069;2,974
Marine fishes;0,0001;3,4
Marine fishes;0,0002;3,335
Marine fishes;0,0083;2,334
Marine fishes;0,001;2,908
Marine fishes;0,0229;2,934
Marine fishes;0,0275;2,92
Marine fishes;0,0211;2,931
Marine fishes;0,023;2,911
Marine fishes;0,0681;2,941
Marine fishes;0,0186;2,88
Marine fishes;0,0458;2,9
Marine fishes;0,0159;2,95
Marine fishes;0,04187;2,84
Marine fishes;0,04535;2,5
Marine fishes;0,05479;2,517
Marine fishes;0,00246;3,51
Marine fishes;0,0327;2,711
Marine fishes;0,0157;2,954
Marine fishes;0,023;2,84
This study;0,01294057;3,182489
This study;0,01291082;2,825593
This study;0,01186085;3,035547
This study;0,0191397;3,036321
This study;0,01107402;3,19366
This study;0,03831047;2,727624
This study;0,000525334;3,124202
This study;0,01978735;2,884246
